"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3313","@smoke verify logout link test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","509","@smoke Get all users and validate the schema","chromium","2026-08-31","passed","2026-08-31","","api/schema-validation.spec.ts","",""
"","4933","@smoke verify footers on product page","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","426","@smoke GET API -- get all users","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","2390","@smoke login page title test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","2098","@smoke Get a single user and validate the schema","chromium","2026-08-31","passed","2026-08-31","","api/schema-validation.spec.ts","",""
"","3280","@smoke intercept and log requests","chromium","2026-08-31","passed","2026-08-31","","api/intercept.spec.ts","",""
"","4578","@smoke verify logo on product page","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","4489","@smoke valid login test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","3216","@smoke home page title test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
